Date,Close,MA,3個月,6個月,1年,2年,3年
1971-09-23,108.8000,108.8575,0.0294,0.1618,0.1719,0.0083,-0.4513
1972-07-17,128.4000,128.5263,-0.0093,0.0444,-0.1706,-0.4330,-0.3224
1973-01-24,130.5000,131.1767,-0.1594,-0.1632,-0.2674,-0.5057,-0.3464
1973-11-09,105.8000,106.1658,-0.1389,-0.2136,-0.3715,-0.2675,-0.1673
1975-08-07,79.6000,80.2475,-0.0289,0.1055,0.1495,0.2676,0.6294
1976-06-07,87.2000,87.2950,0.0436,0.0619,0.1021,0.4083,0.5252
1976-08-23,89.6000,90.1658,0.0100,0.0725,0.1261,0.4944,0.6518
1976-10-05,89.8000,90.3467,0.0791,0.0434,0.1225,0.4822,0.6759
1977-04-04,93.9000,94.0275,0.0660,0.0735,0.1384,0.4089,0.4175
1977-05-27,95.9000,96.0058,0.0469,0.0855,0.2513,0.3816,0.5652
1977-10-13,99.0000,99.3083,0.0081,0.1242,0.3697,0.4152,0.9949
1978-01-09,100.2000,101.0600,0.0828,0.1916,0.2166,0.4830,1.0369
1978-10-20,123.8000,127.1258,0.0073,0.0816,0.1034,0.5929,0.5331
1979-10-10,139.3000,140.4342,0.0991,-0.0144,0.4156,0.3711,0.4042
1980-03-06,148.6000,149.0117,0.0242,0.2456,0.3452,0.1709,0.7847
1981-02-02,193.1000,194.5192,0.1046,0.0896,-0.0326,0.2786,0.4148
1981-07-07,208.0000,209.1458,-0.1062,-0.0755,-0.1865,0.5322,0.1510
1983-08-09,294.3000,294.4825,-0.0788,-0.1240,-0.1536,0.0200,0.2392
1984-10-10,243.3000,243.8442,0.0304,0.1513,0.1484,0.4513,0.8085
1984-11-19,242.9000,244.4917,0.1828,0.2100,0.2635,0.4516,0.3042
1985-09-11,291.4000,291.4283,0.0944,0.2711,0.2124,0.5220,0.3030
1986-07-24,378.7000,379.6513,-0.0655,0.0383,0.1291,0.0269,0.1862
1987-10-14,428.3000,432.3608,-0.2197,-0.1256,-0.1067,0.1258,-0.2218
1988-08-10,378.5000,379.8458,0.0008,0.0779,0.2217,0.0771,0.3407
1988-10-27,381.8000,382.7308,0.0424,0.1200,0.2001,-0.1103,0.3849
1989-10-27,452.8000,456.7083,-0.0766,-0.0722,-0.2615,0.1597,0.3191
1990-07-27,442.6000,442.6335,-0.2325,-0.1091,0.1132,0.2779,0.5821
1992-04-07,581.6100,584.9534,-0.0413,-0.0190,0.1419,0.2912,0.3991
1993-04-16,666.7800,667.3057,0.0494,0.1779,0.0908,0.2487,0.6511
1994-03-28,772.5000,777.6339,-0.0912,-0.0222,0.0694,0.4089,0.6156
1994-11-22,741.2100,743.7777,0.0676,0.1845,0.3829,0.7035,1.1592
1995-12-18,1002.5600,1023.0358,0.1097,0.1801,0.2578,0.5326,1.0075
1996-07-10,1141.1900,1142.9130,0.0867,0.1570,0.3027,0.6998,1.4475
1997-03-14,1292.9700,1293.2310,0.1006,0.2756,0.3830,0.8866,2.6402
1997-10-27,1532.7500,1550.9082,0.0509,0.2081,0.1206,0.8284,1.1070
1998-06-15,1715.7500,1740.8598,-0.0292,0.1828,0.4074,1.2445,0.2366
1998-08-04,1785.6400,1831.4627,0.0086,0.3964,0.4225,1.0488,0.1690
1999-06-14,2398.3100,2416.8005,0.1862,0.5095,0.5711,-0.0952,-0.3523
1999-08-09,2518.9800,2526.4377,0.2316,0.7157,0.5336,-0.1950,-0.4812
2000-04-12,3769.6300,3995.2710,0.1075,-0.1595,-0.4797,-0.5219,-0.6218
2002-02-06,1812.7100,1830.1898,-0.1318,-0.3052,-0.2820,0.1141,0.1511
2003-01-27,1325.2700,1335.0310,0.1034,0.3094,0.5967,0.5439,0.7227
2004-03-10,1964.1500,1979.3136,0.0135,-0.0481,0.0487,0.1517,0.1967
2005-03-11,2041.6000,2047.3928,0.0105,0.0656,0.1104,0.1617,0.1087
2005-10-06,2084.0800,2093.0431,0.1063,0.1223,0.1036,0.3454,-0.1649
2006-05-11,2272.7000,2287.8347,-0.0884,0.0494,0.1204,0.0979,-0.2677
2007-03-02,2368.0000,2392.9543,0.1038,0.0833,-0.0462,-0.4421,-0.0369
2007-08-03,2511.2500,2536.9468,0.1129,-0.0511,-0.0899,-0.1991,-0.0827
2007-11-09,2627.9300,2645.1014,-0.1172,-0.0505,-0.3848,-0.1815,-0.0187
2008-06-11,2394.0100,2398.4687,-0.0691,-0.3537,-0.2221,-0.0628,0.1043
2010-02-04,2125.4300,2149.6283,0.0914,0.0789,0.2957,0.3671,0.4907
2010-05-07,2265.6400,2297.8113,0.0101,0.1376,0.2480,0.3055,0.5065
2011-03-16,2616.8200,2617.9432,0.0056,-0.0169,0.1680,0.2340,0.6559
2011-06-03,2732.7800,2752.4515,-0.0683,-0.0390,0.0100,0.2447,0.5721
2012-05-17,2813.6900,2866.4055,0.0884,0.0140,0.2426,0.4561,0.8019
2012-10-31,2977.2300,2980.6267,0.0678,0.1221,0.3202,0.5337,0.6911
2014-04-07,4079.7500,4111.2613,0.0764,0.0919,0.2036,0.1935,0.4456
2014-10-10,4276.2400,4372.1688,0.0908,0.1665,0.1104,0.2396,0.5274
2015-07-08,4909.7600,4960.5020,-0.0262,0.0199,-0.0096,0.2445,0.5281
2015-08-19,5019.0500,5027.3724,-0.0069,-0.1162,0.0484,0.2618,0.5489
2016-04-29,4775.3600,4801.0293,0.0810,0.0923,0.2756,0.4932,0.6830
2016-06-24,4707.9800,4731.5041,0.1270,0.1571,0.3269,0.6061,0.6924
2016-11-03,5058.4100,5096.5111,0.1196,0.2064,0.3373,0.4488,0.6627
2018-03-23,6992.6700,7000.1729,0.1001,0.1422,0.0999,0.0560,0.8559
2018-10-10,7422.0500,7693.1818,-0.0607,0.0757,0.0856,0.6001,0.9490
2019-05-31,7453.1500,7460.3640,0.0698,0.1680,0.2816,0.8430,0.6210
2019-08-05,7726.0400,7859.6942,0.0855,0.2255,0.4161,0.9131,0.6465
2020-02-27,8566.4800,8688.3568,0.0937,0.3617,0.5400,0.5986,0.3373
2021-05-12,13031.6800,13235.5418,0.1330,0.2191,-0.1280,-0.0573,0.2670
2021-10-04,14255.4800,14391.4552,0.1106,0.0194,-0.2160,-0.0726,0.2573
2021-12-20,14980.9400,15078.7208,-0.0582,-0.2622,-0.2960,-0.0011,0.3193
2023-09-21,13223.9800,13229.9421,0.1175,0.2424,0.3592,0.6927,
2024-08-05,16200.0800,16727.7208,0.1259,0.2156,0.3113,,
2025-02-27,18544.4200,18971.1702,0.0341,0.1704,0.2267,,
2026-02-05,22540.5900,22879.7581,0.1449,,,,
