Date,Close,MA,3個月,6個月,1年,2年,3年
1999-05-31,7316.5700,7317.0068,0.1144,0.0396,0.1412,-0.2461,-0.2156
1999-07-14,7888.6600,7858.5395,-0.0491,0.0667,0.1119,-0.3318,-0.3174
1999-09-27,7759.9300,7796.9735,-0.0026,0.1604,-0.0067,-0.4190,-0.3984
2000-03-13,8811.9500,9190.8465,0.0140,-0.0892,-0.3262,-0.3239,-0.5098
2001-04-02,5607.7300,5653.8652,-0.1362,-0.3606,0.1159,-0.1693,0.2144
2002-04-30,6065.7300,6048.4088,-0.1990,-0.2414,-0.3072,-0.0349,-0.0216
2002-12-19,4549.2300,4503.9893,-0.0159,0.0722,0.2877,0.3190,0.4490
2003-11-19,5865.5100,5842.4830,0.1328,0.0131,-0.0025,0.0467,0.3037
2004-03-22,6359.9200,6422.9200,-0.1094,-0.0851,-0.0462,0.0399,0.2655
2004-10-26,5662.8800,5742.6372,0.0329,0.0274,0.0239,0.2574,0.5411
2005-01-12,5879.0800,5911.8960,-0.0267,0.0876,0.1054,0.3498,0.2793
2005-03-15,6063.4800,6030.1437,0.0235,0.0141,0.0651,0.2938,0.4192
2005-08-15,6245.1300,6246.1562,-0.0259,0.0686,0.0762,0.3915,0.0909
2006-02-23,6474.6900,6489.8600,0.0625,0.0117,0.1785,0.2818,-0.2436
2006-05-24,6877.0100,6834.5468,-0.0417,0.0629,0.1847,0.2707,-0.0603
2007-03-01,7678.6700,7727.3225,0.0610,0.1366,0.1276,-0.3801,0.0091
2007-08-02,8950.5700,8751.1095,0.0360,-0.1597,-0.1946,-0.2140,-0.1183
2007-11-05,9308.6000,9172.3363,-0.1756,-0.0343,-0.4908,-0.1762,-0.1066
2008-05-26,8707.8300,8740.8003,-0.2063,-0.5210,-0.2014,-0.1532,0.0389
2009-06-18,6144.5300,6159.0518,0.2109,0.2725,0.2427,0.3887,0.1690
2009-08-20,6733.2300,6721.0128,0.1485,0.1283,0.1773,0.1006,0.0977
2009-10-29,7355.6900,7282.1980,0.0278,0.0464,0.1392,0.0362,-0.0154
2010-01-25,7872.9900,7859.4662,0.0101,-0.0143,0.1421,-0.0004,0.0064
2010-05-05,7696.9000,7800.4882,0.0339,0.0887,0.1723,-0.0415,0.0884
2010-08-31,7616.2800,7670.0825,0.0986,0.1441,-0.0085,-0.0251,0.0691
2010-10-20,8124.6200,8002.4768,0.0985,0.1138,-0.0725,-0.1271,0.0194
2011-02-11,8609.8600,8749.4978,0.0319,-0.0918,-0.0831,-0.0769,-0.0064
2011-05-23,8747.5100,8758.1775,-0.1606,-0.1730,-0.1916,-0.0563,0.0543
2012-04-03,7760.8500,7747.5572,-0.0441,-0.0110,-0.0010,0.1525,0.2851
2012-10-11,7451.7200,7453.8913,0.0385,0.0643,0.1298,0.1774,0.1667
2013-03-18,7811.3400,7807.6115,0.0251,0.0568,0.1185,0.2290,0.1096
2013-06-13,7951.6600,8055.0295,0.0324,0.0606,0.1663,0.1725,0.1050
2013-11-11,8182.5600,8210.3368,0.0412,0.0862,0.0827,0.0264,0.1458
2014-02-05,8264.4800,8402.9847,0.0806,0.1049,0.1512,0.0085,0.1783
2014-03-24,8605.3800,8561.4253,0.0745,0.0557,0.1140,-0.0086,0.1293
2014-04-28,8809.7100,8696.0883,0.0661,-0.0041,0.1015,-0.0760,0.1397
2014-08-01,9266.5100,9240.0140,-0.0315,0.0173,-0.0941,-0.0251,0.1406
2015-04-20,9552.8500,9525.4393,-0.0572,-0.0988,-0.1129,0.0470,0.1338
2015-11-13,8329.5000,8340.3927,-0.0005,-0.0035,0.0988,0.2726,0.1582
2016-04-28,8473.8700,8485.6380,0.0602,0.0943,0.1803,0.2781,0.2157
2016-09-12,8947.0600,8964.5263,0.0462,0.1068,0.1679,0.2205,0.2503
2017-04-17,9716.4000,9693.8477,0.0763,0.1089,0.0888,0.1215,0.1054
2017-08-10,10329.7400,10316.6753,0.0400,0.0215,0.0350,0.0128,0.2287
2017-09-22,10449.6800,10467.7257,0.0084,0.0450,0.0450,0.0705,0.2243
2017-11-15,10630.6500,10605.1048,0.0079,0.0293,-0.0862,0.0921,0.3413
2018-02-06,10404.0000,10760.5982,0.0410,0.0269,-0.0078,0.0576,0.5561
2019-05-13,10558.2900,10606.4568,-0.0081,0.0861,0.0296,0.6241,0.5001
2020-01-30,11421.7400,11758.9735,-0.0614,0.0955,0.3492,0.5953,0.3801
2020-09-23,12583.8800,12570.2808,0.1348,0.3363,0.3027,0.0304,0.3030
2021-05-11,16583.1300,16553.7193,0.0544,0.0578,-0.0264,0.0075,0.3566
2021-07-28,17135.2200,17152.9708,-0.0055,0.0315,-0.1234,-0.0326,0.2310
2022-01-24,17989.0400,17836.2608,-0.0879,-0.1827,-0.1359,0.0544,0.2296
2023-04-24,15626.8700,15589.4258,0.1006,0.0286,0.3217,0.3868,1.9230
2023-08-04,16843.6800,16771.9027,-0.0115,0.0722,0.3269,0.4387,
2024-01-17,17161.7900,17222.8340,0.1943,0.2935,0.3626,1.0220,
2024-07-22,22256.9900,22139.1647,0.0490,0.0241,0.0535,,
2025-11-21,26434.9400,26470.9168,0.2419,0.7279,,,
2026-03-31,31722.9900,32181.7393,0.4735,,,,
2026-07-17,42671.2700,43525.1305,,,,,
