期間,均線,樣本數,平均報酬,中位數報酬,勝率,最差,最好
3個月,季線(60日),114,0.0218,0.0325,0.6491,-0.2526,0.4877
6個月,季線(60日),114,0.0625,0.0748,0.7281,-0.3767,0.5657
1年,季線(60日),113,0.1187,0.1376,0.7876,-0.6039,1.0791
2年,季線(60日),111,0.2355,0.2692,0.7928,-0.6593,0.9910
3年,季線(60日),109,0.3742,0.4388,0.8257,-0.6726,2.4875
3個月,半年線(120日),75,0.0303,0.0469,0.7067,-0.2325,0.2316
6個月,半年線(120日),74,0.0872,0.0875,0.7297,-0.3537,0.7157
1年,半年線(120日),74,0.1306,0.1402,0.7568,-0.4797,0.5967
2年,半年線(120日),72,0.2903,0.2849,0.8056,-0.5219,1.2445
3年,半年線(120日),71,0.4295,0.4456,0.8169,-0.6218,2.6402
3個月,年線(240日),46,0.0422,0.0469,0.6957,-0.2886,0.2871
6個月,年線(240日),45,0.0930,0.1113,0.7111,-0.4912,0.4229
1年,年線(240日),45,0.1265,0.1610,0.7556,-0.6289,0.6444
2年,年線(240日),44,0.3061,0.3261,0.8409,-0.6816,1.3972
3年,年線(240日),44,0.4878,0.5137,0.8182,-0.5630,2.9567
3個月,基準(任一日),13690,0.0311,0.0365,0.6552,-0.4550,0.6520
6個月,基準(任一日),13627,0.0625,0.0699,0.7004,-0.5312,0.8313
1年,基準(任一日),13501,0.1297,0.1459,0.7599,-0.6289,1.1199
2年,基準(任一日),13249,0.2720,0.2797,0.8159,-0.7058,1.8727
3年,基準(任一日),12997,0.4312,0.4304,0.8610,-0.7408,2.9684
