期間,均線,樣本數,平均報酬,中位數報酬,勝率,最差,最好
3個月,季線(60日),58,0.0270,0.0321,0.6379,-0.2063,0.4735
6個月,季線(60日),57,0.0371,0.0464,0.7368,-0.5210,0.7279
1年,季線(60日),56,0.0535,0.0858,0.6429,-0.4908,0.3626
2年,季線(60日),55,0.0901,0.0467,0.6364,-0.4190,1.0220
3年,季線(60日),53,0.1630,0.1406,0.7925,-0.5098,1.9230
3個月,半年線(120日),45,0.0079,0.0327,0.6222,-0.2045,0.1804
6個月,半年線(120日),45,0.0309,0.0655,0.6667,-0.4721,0.2230
1年,半年線(120日),45,0.0457,0.0733,0.6000,-0.5035,0.4272
2年,半年線(120日),43,0.0986,0.0576,0.7209,-0.4190,0.6829
3年,半年線(120日),42,0.1758,0.1696,0.8571,-0.4957,0.6081
3個月,年線(240日),27,-0.0125,0.0214,0.5556,-0.2063,0.1217
6個月,年線(240日),27,-0.0267,0.0202,0.5556,-0.5210,0.2019
1年,年線(240日),27,0.0309,0.0067,0.5926,-0.5085,0.4776
2年,年線(240日),26,0.1303,0.1288,0.6923,-0.3994,0.6736
3年,年線(240日),26,0.2070,0.1667,0.8846,-0.5026,0.6200
3個月,基準(任一日),6528,0.0227,0.0271,0.6334,-0.4088,0.6575
6個月,基準(任一日),6465,0.0443,0.0429,0.6558,-0.5371,0.8154
1年,基準(任一日),6339,0.0835,0.0899,0.6856,-0.5407,1.1910
2年,基準(任一日),6087,0.1627,0.1154,0.7115,-0.4783,1.2637
3年,基準(任一日),5835,0.2342,0.1942,0.8502,-0.5742,2.0522
